InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
542237,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,1/26/11 14:30,4.25,12347,Iceland
542237,20966,SANDWICH BATH SPONGE,10,1/26/11 14:30,1.25,12347,Iceland
542237,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,1/26/11 14:30,3.75,12347,Iceland
542237,22726,ALARM CLOCK BAKELIKE GREEN,4,1/26/11 14:30,3.75,12347,Iceland
542237,22727,ALARM CLOCK BAKELIKE RED ,4,1/26/11 14:30,3.75,12347,Iceland
542237,22728,ALARM CLOCK BAKELIKE PINK,4,1/26/11 14:30,3.75,12347,Iceland
542237,22729,ALARM CLOCK BAKELIKE ORANGE,4,1/26/11 14:30,3.75,12347,Iceland
542237,22196,SMALL HEART MEASURING SPOONS,12,1/26/11 14:30,0.85,12347,Iceland
542237,84992,72 SWEETHEART FAIRY CAKE CASES,24,1/26/11 14:30,0.55,12347,Iceland
542237,84991,60 TEATIME FAIRY CAKE CASES,24,1/26/11 14:30,0.55,12347,Iceland
542237,21976,PACK OF 60 MUSHROOM CAKE CASES,24,1/26/11 14:30,0.55,12347,Iceland
542237,22417,PACK OF 60 SPACEBOY CAKE CASES,24,1/26/11 14:30,0.55,12347,Iceland
542237,47559B,TEA TIME OVEN GLOVE,10,1/26/11 14:30,1.25,12347,Iceland
542237,21154,RED RETROSPOT OVEN GLOVE ,10,1/26/11 14:30,1.25,12347,Iceland
542237,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,1/26/11 14:30,2.95,12347,Iceland
542237,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,1/26/11 14:30,2.95,12347,Iceland
542237,22423,REGENCY CAKESTAND 3 TIER,3,1/26/11 14:30,12.75,12347,Iceland
542237,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,1/26/11 14:30,4.25,12347,Iceland
542237,22134,MINI LADLE LOVE HEART RED ,12,1/26/11 14:30,0.42,12347,Iceland
542237,21832,CHOCOLATE CALCULATOR,12,1/26/11 14:30,1.65,12347,Iceland
542237,22422,TOOTHPASTE TUBE PEN,12,1/26/11 14:30,0.65,12347,Iceland
542237,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,1/26/11 14:30,4.25,12347,Iceland
542237,21731,RED TOADSTOOL LED NIGHT LIGHT,12,1/26/11 14:30,1.65,12347,Iceland
542237,84558A,3D DOG PICTURE PLAYING CARDS,12,1/26/11 14:30,2.95,12347,Iceland
549222,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,4/7/11 10:43,4.25,12347,Iceland
549222,22374,AIRLINE BAG VINTAGE JET SET RED,4,4/7/11 10:43,4.25,12347,Iceland
549222,22371,AIRLINE BAG VINTAGE TOKYO 78,4,4/7/11 10:43,4.25,12347,Iceland
549222,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,4/7/11 10:43,4.25,12347,Iceland
549222,20665,RED RETROSPOT PURSE ,6,4/7/11 10:43,2.95,12347,Iceland
549222,23076,ICE CREAM SUNDAE LIP GLOSS,240,4/7/11 10:43,1.04,12347,Iceland
549222,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,4/7/11 10:43,1.25,12347,Iceland
549222,22550,HOLIDAY FUN LUDO,8,4/7/11 10:43,3.75,12347,Iceland
549222,23177,TREASURE ISLAND BOOK BOX,8,4/7/11 10:43,2.25,12347,Iceland
549222,22432,WATERING CAN PINK BUNNY,6,4/7/11 10:43,1.95,12347,Iceland
549222,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,12,4/7/11 10:43,1.25,12347,Iceland
549222,22195,LARGE HEART MEASURING SPOONS,12,4/7/11 10:43,1.65,12347,Iceland
549222,22196,SMALL HEART MEASURING SPOONS,12,4/7/11 10:43,0.85,12347,Iceland
549222,21975,PACK OF 60 DINOSAUR CAKE CASES,24,4/7/11 10:43,0.55,12347,Iceland
549222,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,4/7/11 10:43,2.95,12347,Iceland
549222,22423,REGENCY CAKESTAND 3 TIER,3,4/7/11 10:43,12.75,12347,Iceland
549222,22699,ROSES REGENCY TEACUP AND SAUCER ,6,4/7/11 10:43,2.95,12347,Iceland
549222,21731,RED TOADSTOOL LED NIGHT LIGHT,12,4/7/11 10:43,1.65,12347,Iceland
549222,22492,MINI PAINT SET VINTAGE ,36,4/7/11 10:43,0.65,12347,Iceland
549222,84559A,3D SHEET OF DOG STICKERS,12,4/7/11 10:43,0.85,12347,Iceland
549222,84559B,3D SHEET OF CAT STICKERS,12,4/7/11 10:43,0.85,12347,Iceland
549222,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,4/7/11 10:43,0.25,12347,Iceland
549222,22821,GIFT BAG PSYCHEDELIC APPLES,12,4/7/11 10:43,0.65,12347,Iceland
549222,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,4/7/11 10:43,4.25,12347,Iceland
556201,23084,RABBIT NIGHT LIGHT,12,6/9/11 13:01,2.08,12347,Iceland
556201,23162,REGENCY TEA STRAINER,8,6/9/11 13:01,3.75,12347,Iceland
556201,23171,REGENCY TEA PLATE GREEN ,12,6/9/11 13:01,1.65,12347,Iceland
556201,23172,REGENCY TEA PLATE PINK,12,6/9/11 13:01,1.65,12347,Iceland
556201,23170,REGENCY TEA PLATE ROSES ,12,6/9/11 13:01,1.65,12347,Iceland
556201,23173,REGENCY TEAPOT ROSES ,2,6/9/11 13:01,9.95,12347,Iceland
556201,23174,REGENCY SUGAR BOWL GREEN,4,6/9/11 13:01,4.15,12347,Iceland
556201,23175,REGENCY MILK JUG PINK ,4,6/9/11 13:01,3.25,12347,Iceland
556201,22371,AIRLINE BAG VINTAGE TOKYO 78,8,6/9/11 13:01,4.25,12347,Iceland
556201,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,6/9/11 13:01,4.25,12347,Iceland
556201,85178,VICTORIAN SEWING KIT,12,6/9/11 13:01,1.25,12347,Iceland
556201,17021,NAMASTE SWAGAT INCENSE,36,6/9/11 13:01,0.3,12347,Iceland
556201,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,4,6/9/11 13:01,3.29,12347,Iceland
556201,22196,SMALL HEART MEASURING SPOONS,24,6/9/11 13:01,0.85,12347,Iceland
556201,84558A,3D DOG PICTURE PLAYING CARDS,18,6/9/11 13:01,2.95,12347,Iceland
556201,51014C,"FEATHER PEN,COAL BLACK",12,6/9/11 13:01,0.85,12347,Iceland
556201,22727,ALARM CLOCK BAKELIKE RED ,8,6/9/11 13:01,3.75,12347,Iceland
556201,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,6/9/11 13:01,3.75,12347,Iceland
562032,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,24,8/2/11 8:48,0.55,12347,Iceland
562032,23297,SET 40 HEART SHAPE PETIT FOUR CASES,16,8/2/11 8:48,1.65,12347,Iceland
562032,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,8/2/11 8:48,4.25,12347,Iceland
562032,22374,AIRLINE BAG VINTAGE JET SET RED,4,8/2/11 8:48,4.25,12347,Iceland
562032,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,8/2/11 8:48,4.25,12347,Iceland
562032,22371,AIRLINE BAG VINTAGE TOKYO 78,8,8/2/11 8:48,4.25,12347,Iceland
562032,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,4,8/2/11 8:48,4.25,12347,Iceland
562032,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,8/2/11 8:48,2.25,12347,Iceland
562032,20719,WOODLAND CHARLOTTE BAG,10,8/2/11 8:48,0.85,12347,Iceland
562032,22727,ALARM CLOCK BAKELIKE RED ,8,8/2/11 8:48,3.75,12347,Iceland
562032,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,4,8/2/11 8:48,3.29,12347,Iceland
562032,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,8/2/11 8:48,1.45,12347,Iceland
562032,47559B,TEA TIME OVEN GLOVE,10,8/2/11 8:48,1.25,12347,Iceland
562032,84992,72 SWEETHEART FAIRY CAKE CASES,24,8/2/11 8:48,0.55,12347,Iceland
562032,84991,60 TEATIME FAIRY CAKE CASES,24,8/2/11 8:48,0.55,12347,Iceland
562032,21975,PACK OF 60 DINOSAUR CAKE CASES,24,8/2/11 8:48,0.55,12347,Iceland
562032,22423,REGENCY CAKESTAND 3 TIER,3,8/2/11 8:48,12.75,12347,Iceland
562032,23175,REGENCY MILK JUG PINK ,4,8/2/11 8:48,3.25,12347,Iceland
562032,84558A,3D DOG PICTURE PLAYING CARDS,36,8/2/11 8:48,2.95,12347,Iceland
562032,22992,REVOLVER WOODEN RULER ,12,8/2/11 8:48,1.95,12347,Iceland
562032,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,8/2/11 8:48,1.25,12347,Iceland
562032,23316,RED REFECTORY CLOCK ,12,8/2/11 8:48,8.15,12347,Iceland
573511,23480,MINI LIGHTS WOODLAND MUSHROOMS,12,10/31/11 12:25,3.75,12347,Iceland
573511,21265,PINK GOOSE FEATHER TREE 60CM,12,10/31/11 12:25,1.95,12347,Iceland
573511,21636,MADRAS NOTEBOOK MEDIUM,12,10/31/11 12:25,0.75,12347,Iceland
573511,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,4,10/31/11 12:25,4.25,12347,Iceland
573511,22375,AIRLINE BAG VINTAGE JET SET BROWN,8,10/31/11 12:25,4.25,12347,Iceland
573511,22371,AIRLINE BAG VINTAGE TOKYO 78,12,10/31/11 12:25,3.95,12347,Iceland
573511,22374,AIRLINE BAG VINTAGE JET SET RED,8,10/31/11 12:25,4.25,12347,Iceland
573511,22252,BIRDCAGE DECORATION TEALIGHT HOLDER,12,10/31/11 12:25,1.25,12347,Iceland
573511,22945,CHRISTMAS METAL TAGS ASSORTED ,12,10/31/11 12:25,0.85,12347,Iceland
573511,22423,REGENCY CAKESTAND 3 TIER,6,10/31/11 12:25,12.75,12347,Iceland
573511,23173,REGENCY TEAPOT ROSES ,2,10/31/11 12:25,9.95,12347,Iceland
573511,47580,TEA TIME DES TEA COSY,6,10/31/11 12:25,2.55,12347,Iceland
573511,47567B,TEA TIME KITCHEN APRON,6,10/31/11 12:25,5.95,12347,Iceland
573511,47559B,TEA TIME OVEN GLOVE,10,10/31/11 12:25,1.25,12347,Iceland
573511,22698,PINK REGENCY TEACUP AND SAUCER,12,10/31/11 12:25,2.95,12347,Iceland
573511,22697,GREEN REGENCY TEACUP AND SAUCER,12,10/31/11 12:25,2.95,12347,Iceland
573511,84558A,3D DOG PICTURE PLAYING CARDS,36,10/31/11 12:25,2.95,12347,Iceland
573511,23084,RABBIT NIGHT LIGHT,48,10/31/11 12:25,1.79,12347,Iceland
573511,21731,RED TOADSTOOL LED NIGHT LIGHT,12,10/31/11 12:25,1.65,12347,Iceland
573511,23177,TREASURE ISLAND BOOK BOX,8,10/31/11 12:25,2.25,12347,Iceland
573511,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,10/31/11 12:25,1.25,12347,Iceland
573511,23508,MINI PLAYING CARDS DOLLY GIRL ,20,10/31/11 12:25,0.42,12347,Iceland
573511,23506,MINI PLAYING CARDS SPACEBOY ,20,10/31/11 12:25,0.42,12347,Iceland
573511,23503,PLAYING CARDS KEEP CALM & CARRY ON,12,10/31/11 12:25,1.25,12347,Iceland
573511,22992,REVOLVER WOODEN RULER ,12,10/31/11 12:25,1.95,12347,Iceland
573511,22561,WOODEN SCHOOL COLOURING SET,12,10/31/11 12:25,1.65,12347,Iceland
573511,22492,MINI PAINT SET VINTAGE ,36,10/31/11 12:25,0.65,12347,Iceland
573511,22621,TRADITIONAL KNITTING NANCY,12,10/31/11 12:25,1.65,12347,Iceland
573511,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,8,10/31/11 12:25,3.29,12347,Iceland
573511,23421,PANTRY HOOK SPATULA,12,10/31/11 12:25,2.08,12347,Iceland
573511,23422,PANTRY HOOK BALLOON WHISK ,12,10/31/11 12:25,2.08,12347,Iceland
573511,23420,PANTRY HOOK TEA STRAINER ,12,10/31/11 12:25,2.08,12347,Iceland
573511,22699,ROSES REGENCY TEACUP AND SAUCER ,18,10/31/11 12:25,2.95,12347,Iceland
573511,22725,ALARM CLOCK BAKELIKE CHOCOLATE,8,10/31/11 12:25,3.75,12347,Iceland
573511,22728,ALARM CLOCK BAKELIKE PINK,8,10/31/11 12:25,3.75,12347,Iceland
573511,22726,ALARM CLOCK BAKELIKE GREEN,8,10/31/11 12:25,3.75,12347,Iceland
573511,22727,ALARM CLOCK BAKELIKE RED ,12,10/31/11 12:25,3.75,12347,Iceland
573511,21976,PACK OF 60 MUSHROOM CAKE CASES,24,10/31/11 12:25,0.55,12347,Iceland
573511,22417,PACK OF 60 SPACEBOY CAKE CASES,24,10/31/11 12:25,0.55,12347,Iceland
573511,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,24,10/31/11 12:25,0.55,12347,Iceland
573511,84991,60 TEATIME FAIRY CAKE CASES,24,10/31/11 12:25,0.55,12347,Iceland
573511,84992,72 SWEETHEART FAIRY CAKE CASES,24,10/31/11 12:25,0.55,12347,Iceland
573511,22196,SMALL HEART MEASURING SPOONS,24,10/31/11 12:25,0.85,12347,Iceland
573511,22195,LARGE HEART MEASURING SPOONS,24,10/31/11 12:25,1.65,12347,Iceland
573511,20719,WOODLAND CHARLOTTE BAG,10,10/31/11 12:25,0.85,12347,Iceland
573511,23162,REGENCY TEA STRAINER,8,10/31/11 12:25,3.75,12347,Iceland
573511,22131,FOOD CONTAINER SET 3 LOVE HEART ,6,10/31/11 12:25,1.95,12347,Iceland
581180,23497,CLASSIC CHROME BICYCLE BELL ,12,12/7/11 15:52,1.45,12347,Iceland
581180,23552,BICYCLE PUNCTURE REPAIR KIT ,6,12/7/11 15:52,2.08,12347,Iceland
581180,21064,BOOM BOX SPEAKER BOYS,24,12/7/11 15:52,1.25,12347,Iceland
581180,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,24,12/7/11 15:52,0.85,12347,Iceland
581180,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/7/11 15:52,1.65,12347,Iceland
581180,23084,RABBIT NIGHT LIGHT,24,12/7/11 15:52,1.79,12347,Iceland
581180,20719,WOODLAND CHARLOTTE BAG,10,12/7/11 15:52,0.85,12347,Iceland
581180,21265,PINK GOOSE FEATHER TREE 60CM,12,12/7/11 15:52,1.95,12347,Iceland
581180,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,16,12/7/11 15:52,0.83,12347,Iceland
581180,23506,MINI PLAYING CARDS SPACEBOY ,20,12/7/11 15:52,0.42,12347,Iceland
581180,23508,MINI PLAYING CARDS DOLLY GIRL ,20,12/7/11 15:52,0.42,12347,Iceland
539318,84992,72 SWEETHEART FAIRY CAKE CASES,72,12/16/10 19:09,0.55,12348,Finland
539318,22951,60 CAKE CASES DOLLY GIRL DESIGN,72,12/16/10 19:09,0.55,12348,Finland
539318,84991,60 TEATIME FAIRY CAKE CASES,24,12/16/10 19:09,0.55,12348,Finland
539318,84991,60 TEATIME FAIRY CAKE CASES,120,12/16/10 19:09,0.42,12348,Finland
539318,21213,PACK OF 72 SKULL CAKE CASES,24,12/16/10 19:09,0.55,12348,Finland
539318,21213,PACK OF 72 SKULL CAKE CASES,120,12/16/10 19:09,0.42,12348,Finland
539318,22616,PACK OF 12 LONDON TISSUES ,72,12/16/10 19:09,0.29,12348,Finland
539318,21981,PACK OF 12 WOODLAND TISSUES ,144,12/16/10 19:09,0.29,12348,Finland
539318,21982,PACK OF 12 SUKI TISSUES ,144,12/16/10 19:09,0.29,12348,Finland
539318,21725,SWEETIES  STICKERS,48,12/16/10 19:09,0.85,12348,Finland
539318,21211,SET OF 72 SKULL PAPER  DOILIES,72,12/16/10 19:09,1.45,12348,Finland
539318,84988,SET OF 72 PINK HEART PAPER DOILIES,48,12/16/10 19:09,1.45,12348,Finland
539318,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/16/10 19:09,0.55,12348,Finland
539318,22952,60 CAKE CASES VINTAGE CHRISTMAS,120,12/16/10 19:09,0.42,12348,Finland
539318,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/16/10 19:09,0.55,12348,Finland
539318,21977,PACK OF 60 PINK PAISLEY CAKE CASES,120,12/16/10 19:09,0.42,12348,Finland
539318,POST,POSTAGE,6,12/16/10 19:09,40,12348,Finland
541998,21980,PACK OF 12 RED RETROSPOT TISSUES ,144,1/25/11 10:42,0.29,12348,Finland
541998,21985,PACK OF 12 HEARTS DESIGN TISSUES ,144,1/25/11 10:42,0.29,12348,Finland
541998,21726,MULTI HEARTS  STICKERS,24,1/25/11 10:42,0.85,12348,Finland
541998,21983,PACK OF 12 BLUE PAISLEY TISSUES ,144,1/25/11 10:42,0.29,12348,Finland
541998,21967,PACK OF 12 SKULL TISSUES,144,1/25/11 10:42,0.29,12348,Finland
541998,POST,POSTAGE,1,1/25/11 10:42,40,12348,Finland
548955,23077,DOUGHNUT LIP GLOSS ,80,4/5/11 10:47,1.25,12348,Finland
548955,23078,ICE CREAM PEN LIP GLOSS ,96,4/5/11 10:47,1.25,12348,Finland
548955,23076,ICE CREAM SUNDAE LIP GLOSS,72,4/5/11 10:47,1.25,12348,Finland
548955,22437,SET OF 9 BLACK SKULL BALLOONS,20,4/5/11 10:47,0.85,12348,Finland
548955,POST,POSTAGE,1,4/5/11 10:47,40,12348,Finland
568172,23077,DOUGHNUT LIP GLOSS ,120,9/25/11 13:13,1.25,12348,Finland
568172,23078,ICE CREAM PEN LIP GLOSS ,96,9/25/11 13:13,1.25,12348,Finland
568172,POST,POSTAGE,1,9/25/11 13:13,40,12348,Finland
577609,23112,PARISIENNE CURIO CABINET,2,11/21/11 9:51,7.5,12349,Italy
577609,23460,SWEETHEART WALL TIDY ,2,11/21/11 9:51,9.95,12349,Italy
577609,21564,PINK  HEART SHAPE LOVE BUCKET ,6,11/21/11 9:51,2.95,12349,Italy
577609,21411,GINGHAM HEART  DOORSTOP RED,3,11/21/11 9:51,4.25,12349,Italy
577609,21563,RED HEART SHAPE LOVE BUCKET ,6,11/21/11 9:51,2.95,12349,Italy
577609,22131,FOOD CONTAINER SET 3 LOVE HEART ,6,11/21/11 9:51,1.95,12349,Italy
577609,22195,LARGE HEART MEASURING SPOONS,12,11/21/11 9:51,1.65,12349,Italy
577609,48194,DOORMAT HEARTS,2,11/21/11 9:51,8.25,12349,Italy
577609,84978,HANGING HEART JAR T-LIGHT HOLDER,12,11/21/11 9:51,1.25,12349,Italy
577609,22832,BROCANTE SHELF WITH HOOKS,2,11/21/11 9:51,10.75,12349,Italy
577609,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,11/21/11 9:51,1.65,12349,Italy
577609,23198,PANTRY MAGNETIC  SHOPPING LIST,12,11/21/11 9:51,1.45,12349,Italy
577609,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,11/21/11 9:51,2.95,12349,Italy
577609,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,11/21/11 9:51,4.95,12349,Italy
577609,22960,JAM MAKING SET WITH JARS,6,11/21/11 9:51,4.25,12349,Italy
577609,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,11/21/11 9:51,3.95,12349,Italy
577609,23113,PANTRY CHOPPING BOARD,3,11/21/11 9:51,4.95,12349,Italy
577609,22692,DOORMAT WELCOME TO OUR HOME,4,11/21/11 9:51,8.25,12349,Italy
577609,23253,16 PIECE CUTLERY SET PANTRY DESIGN,4,11/21/11 9:51,15.95,12349,Italy
577609,22071,SMALL WHITE RETROSPOT MUG IN BOX ,6,11/21/11 9:51,3.75,12349,Italy
577609,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,11/21/11 9:51,5.95,12349,Italy
577609,22567,20 DOLLY PEGS RETROSPOT,12,11/21/11 9:51,1.45,12349,Italy
577609,84078A,SET/4 WHITE RETRO STORAGE CUBES ,1,11/21/11 9:51,39.95,12349,Italy
577609,22423,REGENCY CAKESTAND 3 TIER,1,11/21/11 9:51,12.75,12349,Italy
577609,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,11/21/11 9:51,2.95,12349,Italy
577609,20685,DOORMAT RED RETROSPOT,6,11/21/11 9:51,8.25,12349,Italy
577609,21086,SET/6 RED SPOTTY PAPER CUPS,12,11/21/11 9:51,0.65,12349,Italy
577609,21535,RED RETROSPOT SMALL MILK JUG,6,11/21/11 9:51,2.55,12349,Italy
577609,21531,RED RETROSPOT SUGAR JAM BOWL,6,11/21/11 9:51,2.55,12349,Italy
577609,21533,RETROSPOT LARGE MILK JUG,3,11/21/11 9:51,4.95,12349,Italy
577609,22070,SMALL RED RETROSPOT MUG IN BOX ,6,11/21/11 9:51,3.75,12349,Italy
577609,21787,RAIN PONCHO RETROSPOT,24,11/21/11 9:51,0.85,12349,Italy
577609,85014B,RED RETROSPOT UMBRELLA,3,11/21/11 9:51,5.95,12349,Italy
577609,22553,PLASTERS IN TIN SKULLS,12,11/21/11 9:51,1.65,12349,Italy
577609,23020,GLASS  SONGBIRD STORAGE JAR,1,11/21/11 9:51,12.5,12349,Italy
577609,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,11/21/11 9:51,0.83,12349,Italy
577609,23296,SET OF 6 TEA TIME BAKING CASES,8,11/21/11 9:51,1.25,12349,Italy
577609,23294,SET OF 6 SNACK LOAF BAKING CASES,8,11/21/11 9:51,0.83,12349,Italy
577609,23545,WRAP RED VINTAGE DOILY,25,11/21/11 9:51,0.42,12349,Italy
577609,23295,SET OF 12 MINI LOAF BAKING CASES,8,11/21/11 9:51,0.83,12349,Italy
577609,23236,STORAGE TIN VINTAGE DOILY ,6,11/21/11 9:51,2.89,12349,Italy
577609,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,11/21/11 9:51,4.15,12349,Italy
577609,23283,DOORMAT VINTAGE LEAF,2,11/21/11 9:51,8.25,12349,Italy
577609,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,11/21/11 9:51,2.95,12349,Italy
577609,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,11/21/11 9:51,1.65,12349,Italy
577609,22555,PLASTERS IN TIN STRONGMAN,12,11/21/11 9:51,1.65,12349,Italy
577609,22333,RETROSPOT PARTY BAG + STICKER SET,8,11/21/11 9:51,1.65,12349,Italy
577609,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,11/21/11 9:51,1.95,12349,Italy
577609,23494,VINTAGE DOILY DELUXE SEWING KIT ,3,11/21/11 9:51,5.95,12349,Italy
577609,23497,CLASSIC CHROME BICYCLE BELL ,12,11/21/11 9:51,1.45,12349,Italy
577609,23514,EMBROIDERED RIBBON REEL SALLY ,6,11/21/11 9:51,2.08,12349,Italy
577609,21136,PAINTED METAL PEARS ASSORTED,16,11/21/11 9:51,1.69,12349,Italy
577609,22704,WRAP RED APPLES ,25,11/21/11 9:51,0.42,12349,Italy
577609,22601,CHRISTMAS RETROSPOT ANGEL WOOD,12,11/21/11 9:51,0.85,12349,Italy
577609,23263,SET OF 3 WOODEN HEART DECORATIONS,12,11/21/11 9:51,1.25,12349,Italy
577609,23273,HEART T-LIGHT HOLDER WILLIE WINKIE,12,11/21/11 9:51,1.65,12349,Italy
577609,23439,HAND WARMER RED LOVE HEART,12,11/21/11 9:51,2.1,12349,Italy
577609,35970,ZINC FOLKART SLEIGH BELLS,12,11/21/11 9:51,1.69,12349,Italy
577609,22556,PLASTERS IN TIN CIRCUS PARADE ,12,11/21/11 9:51,1.65,12349,Italy
